Company,Volume IDX,Retail IDX,Category IDX,Brand IDX,Rating,# Reviews,# Locations
"Ross Dress for Less (14940 N Dale Mabry Hwy, Tampa, FL 33618)",0.8,0.76,1.22,0.92,4.3,691,
"Ross Dress for Less (2189 US Hwy 70 SE, Hickory, NC 28602)",1.04,0.99,1.34,1.19,4.3,1056,
"Ross Dress for Less (6744 Stanford Ranch Rd, Roseville, CA 95678)",0,0,0,0,4,536,
"Ross Dress for Less (7603 Turkey Lake Rd, Orlando, FL 32819)",0.86,0.92,1.17,0.99,4.6,298,
"Ross Dress for Less (19800 Hawthorne Blvd, Torrance, CA 90503, United States)",0.54,0.54,1,0.62,4.1,544,
"Ross Dress for Less (2405 N Haskell Ave., Dallas, TX 75204)",1.57,1.61,2.68,0,4.1,303,
"Ross Dress for Less (3615 Florida Ave S, Lakeland, FL 33803)",0.88,0.87,1,1.01,4.1,784,
"Ross Dress for Less (5501 Philadelphia St, Chino, CA 91710)",0.7,0.65,0.99,0.81,4.3,553,
"Ross Dress for Less (135 Brandon Town Center Dr, Brandon, FL 33511)",1.31,1.29,1.62,1.5,4,1222,
"Ross Dress for Less (2555 Town Center Blvd N, Sugar Land, TX 77479)",0.96,0.99,1.13,1.1,4,558,
"Ross Dress for Less (2505 Vista Way, Oceanside, CA 92054)",0.92,0.91,1.51,1.05,4.1,595,
"Ross Dress for Less (2520 Jamacha Road, El Cajon, CA 92019)",1.03,0.91,1.04,1.19,4.2,714,
"Ross Dress for Less (13630 Poway Rd, Poway, CA 92064)",1.04,1.05,1.14,1.19,4.2,219,
"Ross Dress for Less (300 NW Eastman Pkwy, Gresham, OR 97030)",0.8,0.83,0.85,0.92,3.9,762,
"Ross Dress for Less (1023 Edwards Ferry Rd NE, Leesburg, VA 20176)",0.54,0.5,1.02,0.62,4,178,
"Ross Dress for Less (8115 W Bell Rd, Peoria, AZ 85382)",0.93,1.04,1.23,1.07,4,829,
"Ross Dress for Less (26117 104th Ave SE, Kent, WA 98030)",0.89,0.83,1,1.03,3.9,675,
"Ross Dress for Less (1410 Linda Mar Shopping Center, Pacifica, CA 94044)",0.4,0.35,1,0.46,4.2,211,
"Ross Dress for Less (6545 Spring Stuebner Rd, Spring, TX 77379)",1.08,1.02,1,1.24,4.1,386,
"Ross Dress for Less (5850 S Vermont Ave, Los Angeles, CA 90044)",0.78,0.67,1.23,0.9,4.2,521,
"Ross Dress for Less (1751 W Bethany Home Rd, Phoenix, AZ 85015)",1.32,1.15,1.49,1.52,4,1444,
"Michaels (211 Robert C Daniel Jr Pkwy, Augusta, GA 30909)",1.24,1.07,0,0,4.4,1045,
"Michaels (5730 Fairmont Pkwy, Pasadena, TX 77505)",1.25,1.19,1.19,1.18,4.4,918,
"Michaels (6823 Hwy 6 N, Houston, TX 77084)",1.26,1.2,1.02,1.18,4.4,578,
"Michaels (359 Carroll St, Fort Worth, TX 76107)",1.24,1.27,1,1.17,4.4,509,
"Michaels (2041 Dr Martin Luther King Jr Pkwy, Chico, CA 95928, United States)",1.2,0,0,0,4.3,740,
"Michaels (3759 William Penn Hwy, Monroeville, PA 15146, United States)",0.96,0.96,1,0.9,4.3,506,
"Michaels (4360 Montgomery Rd, Ellicott City, MD 21043)",1.1,0.94,1,1.04,4.4,617,
"Michaels (1019 A Edwards Ferry Rd NE, Leesburg, VA 20176)",0.98,0.92,1.05,0.92,4.3,208,
"Michaels (6545 N Grand Parkway W, #100, Spring, TX 77389)",1.3,1.22,1,1.23,4.5,538,
"Michaels (340 Crossroads Blvd, Cary, NC 27511)",1.04,0,0,0,4.3,708,
"Michaels (4727 E Cactus Rd, Phoenix, AZ 85032)",0.97,0.96,1,0.91,4.3,561,
"Michaels (15100 Hesperian Blvd, San Leandro, CA 94578)",0.89,0.8,1,0.83,4.1,681,
"CVS (2221 Cloverdale Ave, Winston-Salem, NC 27103)",1.87,0,0,0,3.3,29,
"CVS (25880 McBean Pkwy, Valencia, CA 91355)",1.91,2.11,1.1,0,4.1,24,
"CVS (2878 Vista Blvd, Sparks, NV 89434)",1.59,1.7,0,0,2.5,26,
"CVS (3327 Rosecrans Street Rosecrans And, Midway Dr, San Diego, CA 92110)",1.78,1.68,0.9,1,3,20,
"CVS (35720 Fremont Blvd, Fremont, CA 94536)",1.65,1.59,0.85,0.93,2.5,43,
"CVS (15210 East Rosecrans Ave, La Mirada, CA 90638)",2.27,1.89,1.24,1.28,4,29,
"CVS (1830 N Broadway, Santa Maria, CA 93454)",1.83,4.75,0,0,3.4,21,
"CVS (188 Linden St, Wellesley, MA 02482)",1.44,1.78,1.13,0.81,3.6,14,
"CVS (10720 W Bell Rd, Sun City, AZ 85351)",1.5,1.4,0.93,0.84,2.8,28,
"CVS (4490 Paradise Rd, Las Vegas, NV 89109)",1.99,1.55,1.23,1.12,3.2,60,
"CVS (318 W El Norte Pkwy, Escondido, CA 92026)",2.55,1.96,1,1.44,2.4,57,
"CVS (615 Belmont Ave, Springfield, MA 01108)",2.54,4.07,0,0,3.2,30,
"CVS (101 Easton Rd Suite 200, Horsham, PA 19044)",1.74,1.62,0.99,0.98,2.4,34,
"CVS (260 South, US-1, Tequesta, FL 33469)",1.97,2.07,1.01,0,3.1,18,
"CVS (1631 S Melrose Dr, Vista, CA 92081)",1.68,1.55,0.99,0.95,3,23,
"Dollar Tree (3660 S Tuttle Ave, Sarasota, FL 34239)",1.69,1.87,0,0,4.2,135,
"Dollar Tree (9620 Fort Meade Rd, Laurel, MD 20707)",1.39,1.54,1.13,0.95,3.5,280,
"Dollar Tree (4523 N Peoria Ave, Tulsa, OK 74106)",1.7,0,0,0,4.4,23,
"Dollar Tree (5409 South Blvd, Charlotte, NC 28217)",1.43,1.35,1.06,0.97,4.1,139,
"Dollar Tree (2300 Dixwell Ave, Hamden, CT 06514)",1.39,1.43,0.98,0,3.1,85,
"Dollar Tree (13345 Worth Ave, Woodbridge, VA 22192)",1.24,1.14,0.96,0.84,4.2,335,
"Dollar Tree (1838 Marron Rd E, Carlsbad, CA 92008)",1.73,1.76,1.07,1.17,4.2,81,
"Dollar Tree (20800 Hesperian Blvd, Hayward, CA 94541)",1.65,1.46,0.95,1.12,3.9,167,
"Dollar Tree (1241 Auburn Way N, Auburn, WA 98002, United States)",1.31,1.19,0.89,0.89,3.7,193,
"Dollar Tree (11975 Central Ave, Chino, CA 91710)",1.59,1.45,0.92,1.08,4.5,300,
"Dollar Tree (662 W Cuthbert Blvd, Haddon Township, NJ 08108)",1.17,1.11,1,0.79,4.2,40,
"Dollar Tree (436 Crosstown Drive, Peachtree City, GA 30269)",1.23,1.28,1,0.83,4.3,37,