fp,code,name
1,AL,Alabama
2,AK,Alaska
3,,American Samoa
4,AZ,Arizona
5,AR,Arkansas
6,CA,California
7,,Canal Zone
8,CO,Colorado
9,CT,Connecticut
10,DE,Delaware
11,DC,District of Columbia
12,FL,Florida
13,GA,Georgia
14,,Guam
15,HI,Hawaii
16,ID,Idaho
17,IL,Illinois
18,IN,Indiana
19,IA,Iowa
20,KS,Kansas
21,KY,Kentucky
22,LA,Louisiana
23,ME,Maine
24,MD,Maryland
25,MA,Massachusetts
26,MI,Michigan
27,MN,Minnesota
28,MS,Mississippi
29,MO,Missouri
30,MT,Montana
31,NE,Nebraska
32,NV,Nevada
33,NH,New Hampshire
34,NJ,New Jersey
35,NM,New Mexico
36,NY,New York
37,NC,North Carolina
38,ND,North Dakota
39,OH,Ohio
40,OK,Oklahoma
41,OR,Oregon
42,PA,Pennsylvania
43,,Puerto Rico
44,RI,Rhode Island
45,SC,South Carolina
46,SD,South Dakota
47,TN,Tennessee
48,TX,Texas
49,UT,Utah
50,VT,Vermont
51,VA,Virginia
52,,Virgin Islands
53,WA,Washington
54,WV,West Virginia
55,WI,Wisconsin
56,WY,Wyoming
60,AS,American Samoa
64,FM,Federated States of Micronesia
66,GU,Guam
67,JA,Johnston Atoll
68,MH,Marshall Islands
69,MP,Northern Mariana Islands
70,PW,Palau
71,MI,Midway Islands
72,PR,Puerto Rico
74,UM,U.S. Minor Outlying Islands
76,NI,Navassa Island
78,VI,Virgin Islands.
79,WI,Wake Island
81,BI,Baker Island
84,HI,Howland Island
86,JI,Jarvis Island
89,KR,Kingman Reef
95,PA,Palmyra Atoll